备盒,蜡青己捞窍急堪,荐滴,牢敲风浚磊,荐练备捍,蜡青己阿搬阜堪
06林,0.5,1.5,50.1,0,0.5
07林,0,0.3,9.3,0,0
08林,0,0,0.8,0,0
09林,0,0.3,1.6,0,0.2
10林,1.1,3.3,19.2,0,1.2
11林,1.3,3.3,30,0.2,1.2
12林,1.4,3.9,20.3,0.2,1.5
13林,1.1,4.6,15.8,0.2,1.5
14林,2,6.2,13.4,0.2,2.8
15林,2.1,9.4,11.2,0.3,2.6
16林,2.2,10,12.7,0.4,3.8
17林,2.3,13.6,17.6,0.3,3.9
18林,1.9,13.2,19.8,0.4,3.6
19林,2.1,17.3,9.9,0.8,3.7
24林,2.6,14.7,1.4,2.5,4.7
25林,2.4,9.7,1.3,3.2,5.2
26林,2.6,12,1.4,3.8,5.1
27林,1.9,8.6,1,4.7,3.8
28林,2.2,9,1.1,6.5,4.5
29林,1.9,8.3,1.2,6.9,4.8
30林,0.6,4.4,0.1,3.2,2
31林,0,0.2,0,0,0.1
33林,0.2,0.7,0,0.1,1.5
34林,0.4,2,0,1.5,6.3
35林,1.9,3.9,0.3,2.6,13.3
36林,1.3,3.1,0.7,1.7,9.3
37林,1.4,3.1,0.8,2,8.4
38林,1.7,7.7,1.6,2.7,12.3
39林,0.5,2.8,0.3,1.1,3.9
40林,0.9,4,0.2,1.5,5.6
